ROI,X_position,Y_position,gene,gene_value,type,full_gene_name
D5761.(3).|.054.|.Full.ROI,8968,22536,Kcnip2,0.170809361169318,Cortical layer II/III,Kcnip2
D5761.(3).|.054.|.Full.ROI,8968,22536,Tacc1,1.4109296747345,Cortical layer II/III,Tacc1
D5761.(3).|.054.|.Full.ROI,8968,22536,Them6,1.16667918203241,Cortical layer II/III,Them6
D5761.(3).|.054.|.Full.ROI,8968,22536,Rtn4,0.816559975175731,Cortical layer II/III,Rtn4
D5761.(3).|.054.|.Full.ROI,8968,22536,Arhgef25,0.459917669652236,Cortical layer II/III,Arhgef25
D5761.(3).|.054.|.Full.ROI,8968,22536,Stxbp5l,0.42126925428282,Cortical layer II/III,Stxbp5l
D5761.(3).|.054.|.Full.ROI,8968,22536,Tbr1,0.0301305098440755,Cortical layer II/III,Tbr1
D5761.(3).|.054.|.Full.ROI,8968,22536,Ppp1r1b,1.14717858869879,Cortical layer II/III,Ppp1r1b
D5761.(3).|.054.|.Full.ROI,8968,22536,Nptx1,0.280155049203014,Cortical layer II/III,Nptx1
D5761.(3).|.054.|.Full.ROI,8968,22536,Tsnax,1.64529849746351,Cortical layer II/III,Tsnax
D5761.(3).|.054.|.Full.ROI,8968,22536,Dock4,1.83731077813776,Cortical layer II/III,Dock4
D5761.(3).|.054.|.Full.ROI,8968,22536,Sipa1l1,1.30096557157155,Cortical layer II/III,Sipa1l1
D5761.(3).|.054.|.Full.ROI,8968,22536,Kcnh4,1.5321579355458,Cortical layer II/III,Kcnh4
D5761.(3).|.054.|.Full.ROI,8968,22536,Kcnh5,0.437671380481732,Cortical layer II/III,Kcnh5
D5761.(3).|.054.|.Full.ROI,8968,22536,Myo16,0.265710714272167,Cortical layer II/III,Myo16
D5761.(3).|.054.|.Full.ROI,8968,22536,Cux1,0.793271867790028,Cortical layer II/III,Cux1
D5761.(3).|.054.|.Full.ROI,8968,22536,Cux2,1.38920488577931,Cortical layer II/III,Cux2
D5761.(3).|.054.|.Full.ROI,8968,22536,Ptn,0.673952705270602,Cortical layer II/III,Ptn
D5761.(3).|.054.|.Full.ROI,8968,22536,Plxnd1,0.677163617410668,Cortical layer II/III,Plxnd1
D5761.(3).|.054.|.Full.ROI,8968,22536,Nectin1,1.27336822880575,Cortical layer II/III,Nectin1
D5761.(3).|.054.|.Full.ROI,8968,22536,Rilpl1,1.04492488399682,Cortical layer II/III,Rilpl1
D5761.(3).|.054.|.Full.ROI,8968,22536,Npbwr1,-0.43502360389404,Cortical layer II/III,Npbwr1
D5761.(3).|.054.|.Full.ROI,8968,22536,Tmem200a,-0.307242289671453,Cortical layer II/III,Tmem200a
D5761.(3).|.054.|.Full.ROI,8968,22536,Ndrg2,-0.116795387188852,Cortical layer II/III,Ndrg2
D5761.(3).|.054.|.Full.ROI,8968,22536,Ivd,-0.613732744889456,Cortical layer II/III,Ivd
D5761.(3).|.054.|.Full.ROI,8968,22536,Lypd5,0.068173313676407,Cortical layer II/III,Lypd5
